2026-01-29 15:20:33 | INFO     | app.services.plan_service:generate_plan:59 - 开始为目标 1 生成规划
2026-01-29 15:20:33 | INFO     | app.services.ai_service:generate_plan:143 - 调用 AI 生成规划，目标：测试目标
2026-01-29 15:20:33 | ERROR    | app.services.ai_service:generate_plan:172 - AI 调用失败：Completions.create() got an unexpected keyword argument 'chat_template_kwargs'
2026-01-29 15:20:33 | INFO     | app.services.ai_service:generate_plan:174 - 使用降级方案生成规划
2026-01-29 15:20:33 | INFO     | app.services.plan_service:generate_plan:89 - 规划生成成功: 1
2026-01-29 15:20:38 | INFO     | app.utils.llm_operator:__init__:81 - LLMOperator 初始化成功，模型: qwen3_32b_awq, API 类型: openai
2026-01-29 15:20:38 | INFO     | app.services.ai_service:__init__:100 - AI 服务初始化成功，模型: qwen3_32b_awq
2026-01-29 15:20:38 | INFO     | app.api.auth:register:106 - 新用户注册成功: flowuser
2026-01-29 15:20:38 | INFO     | app.api.auth:login:57 - 用户登录成功: flowuser
2026-01-29 15:20:38 | INFO     | app.api.auth:register:106 - 新用户注册成功: quickuser
2026-01-29 15:20:39 | INFO     | app.api.auth:login:57 - 用户登录成功: quickuser
2026-01-29 15:20:39 | INFO     | app.services.goal_service:create_goal:49 - 创建目标成功: 1, 用户: 1
2026-01-29 15:20:39 | INFO     | app.services.plan_service:generate_plan:59 - 开始为目标 1 生成规划
2026-01-29 15:20:39 | INFO     | app.services.ai_service:generate_plan:143 - 调用 AI 生成规划，目标：测试目标
2026-01-29 15:20:39 | ERROR    | app.services.ai_service:generate_plan:172 - AI 调用失败：Completions.create() got an unexpected keyword argument 'chat_template_kwargs'
2026-01-29 15:20:39 | INFO     | app.services.ai_service:generate_plan:174 - 使用降级方案生成规划
2026-01-29 15:20:39 | INFO     | app.services.plan_service:generate_plan:89 - 规划生成成功: 1
2026-01-29 15:21:03 | INFO     | app.utils.llm_operator:__init__:81 - LLMOperator 初始化成功，模型: qwen3_32b_awq, API 类型: openai
2026-01-29 15:21:03 | INFO     | app.services.ai_service:__init__:100 - AI 服务初始化成功，模型: qwen3_32b_awq
2026-01-29 15:21:04 | INFO     | app.services.goal_service:create_goal:49 - 创建目标成功: 1, 用户: 1
2026-01-29 15:22:09 | INFO     | app.utils.llm_operator:__init__:81 - LLMOperator 初始化成功，模型: qwen3_32b_awq, API 类型: openai
2026-01-29 15:22:09 | INFO     | app.services.ai_service:__init__:100 - AI 服务初始化成功，模型: qwen3_32b_awq
2026-01-29 15:22:10 | INFO     | app.api.auth:register:106 - 新用户注册成功: flowuser
2026-01-29 15:22:10 | INFO     | app.api.auth:login:57 - 用户登录成功: flowuser
2026-01-29 15:22:10 | INFO     | app.api.auth:register:106 - 新用户注册成功: quickuser
2026-01-29 15:22:10 | INFO     | app.api.auth:login:57 - 用户登录成功: quickuser
2026-01-29 15:22:10 | INFO     | app.services.goal_service:create_goal:49 - 创建目标成功: 1, 用户: 1
2026-01-29 15:22:10 | INFO     | app.services.goal_service:update_goal:156 - 更新目标成功: 1
2026-01-29 15:22:10 | INFO     | app.services.goal_service:delete_goal:177 - 删除目标成功: 1
2026-01-29 15:22:11 | INFO     | app.services.plan_service:generate_plan:59 - 开始为目标 1 生成规划
2026-01-29 15:22:11 | INFO     | app.services.ai_service:generate_plan:143 - 调用 AI 生成规划，目标：测试目标
2026-01-29 15:22:11 | ERROR    | app.services.ai_service:generate_plan:172 - AI 调用失败：Completions.create() got an unexpected keyword argument 'chat_template_kwargs'
2026-01-29 15:22:11 | INFO     | app.services.ai_service:generate_plan:174 - 使用降级方案生成规划
2026-01-29 15:22:11 | INFO     | app.services.plan_service:generate_plan:89 - 规划生成成功: 1
2026-01-29 15:22:38 | INFO     | app.utils.llm_operator:__init__:81 - LLMOperator 初始化成功，模型: qwen3_32b_awq, API 类型: openai
2026-01-29 15:22:38 | INFO     | app.services.ai_service:__init__:100 - AI 服务初始化成功，模型: qwen3_32b_awq
2026-01-29 15:22:38 | INFO     | app.api.auth:register:106 - 新用户注册成功: flowuser
2026-01-29 15:22:38 | INFO     | app.api.auth:login:57 - 用户登录成功: flowuser
2026-01-29 15:22:39 | INFO     | app.api.auth:register:106 - 新用户注册成功: quickuser
2026-01-29 15:22:39 | INFO     | app.api.auth:login:57 - 用户登录成功: quickuser
2026-01-29 15:22:39 | INFO     | app.services.goal_service:create_goal:49 - 创建目标成功: 1, 用户: 1
2026-01-29 15:22:39 | INFO     | app.services.goal_service:update_goal:156 - 更新目标成功: 1
2026-01-29 15:22:39 | INFO     | app.services.goal_service:delete_goal:177 - 删除目标成功: 1
2026-01-29 15:22:39 | INFO     | app.services.plan_service:generate_plan:59 - 开始为目标 1 生成规划
2026-01-29 15:22:39 | INFO     | app.services.ai_service:generate_plan:143 - 调用 AI 生成规划，目标：测试目标
2026-01-29 15:22:39 | ERROR    | app.services.ai_service:generate_plan:172 - AI 调用失败：Completions.create() got an unexpected keyword argument 'chat_template_kwargs'
2026-01-29 15:22:39 | INFO     | app.services.ai_service:generate_plan:174 - 使用降级方案生成规划
2026-01-29 15:22:39 | INFO     | app.services.plan_service:generate_plan:89 - 规划生成成功: 1
2026-01-29 15:23:19 | INFO     | app.utils.llm_operator:__init__:81 - LLMOperator 初始化成功，模型: qwen3_32b_awq, API 类型: openai
2026-01-29 15:23:19 | INFO     | app.services.ai_service:__init__:100 - AI 服务初始化成功，模型: qwen3_32b_awq
2026-01-29 15:23:19 | INFO     | app.services.goal_service:create_goal:49 - 创建目标成功: 1, 用户: 1
2026-01-29 15:23:19 | INFO     | app.services.goal_service:update_goal:156 - 更新目标成功: 1
2026-01-29 15:23:19 | INFO     | app.services.goal_service:delete_goal:177 - 删除目标成功: 1
2026-01-29 15:24:26 | INFO     | app.utils.llm_operator:__init__:81 - LLMOperator 初始化成功，模型: qwen3_32b_awq, API 类型: openai
2026-01-29 15:24:26 | INFO     | app.services.ai_service:__init__:100 - AI 服务初始化成功，模型: qwen3_32b_awq
2026-01-29 15:24:26 | INFO     | app.services.goal_service:create_goal:49 - 创建目标成功: 1, 用户: 1
2026-01-29 15:24:26 | INFO     | app.services.goal_service:update_goal:156 - 更新目标成功: 1
2026-01-29 15:24:26 | INFO     | app.services.goal_service:delete_goal:177 - 删除目标成功: 1
2026-01-29 15:26:16 | INFO     | app.utils.llm_operator:__init__:81 - LLMOperator 初始化成功，模型: qwen3_32b_awq, API 类型: openai
2026-01-29 15:26:16 | INFO     | app.services.ai_service:__init__:100 - AI 服务初始化成功，模型: qwen3_32b_awq
